id,text_sha256,char_len,word_count,source_document
191,2cfdd91d91e71e8e90d7a0f574a4963ddef0870b5f5fb2236f554ce4621994ed,188,31,
192,89105cffd12e2d4f1ec3b0efa34550f4e8b54ad0ad7eb54d6868693ea388158c,329,44,
193,cf8369830c20133b050180834b382f1edaea6a55a7436f35ce8f5287b08e628c,323,39,
194,6c0bd29314335ae10670c48e70b3f1df32bef3bf7fc19a014d9873a158894515,346,55,
195,703c47bb3668a5adc4da93439aca3414009eb5f5e767951e8adc99fac55b6374,197,33,
196,01be3cb9b91c3c8d5e85350f31739f43493329a0666ab8d3f8fa89119df75d4b,218,35,
197,a77c310c14dbba952c643804bbfbfdba6d05ce3f463334848d1ab6c512977960,136,21,
198,3af597486b09c8b594d935ad5cea3f5fc7133846f0b487e88371d1758a011e1b,106,16,
199,13dc091d616be18ce709fc8289951cdaa28fa1fae5937a0e6fc0e7e35f0f6370,94,17,
200,6e2dcbc0132f15ce40fbce21ace6f469baf457b7330dcf5447830cf60765b9f2,143,25,
201,7afd8a11e9fc342906a798137e199cde33859160581bd5a2872ce48baa4805d2,102,15,
202,f51a3fff0fb02c48168bcb67ebc038467d4a527be3b3ae18d1f3288fab69147e,276,47,
203,430e67f52f0b5e98453c918b95daa7d65e936de5c1f2726b9393a50838877632,192,32,
204,b0f8fd77ba03a33cdb1c9029fe3002a2670d22c464424a69dd35a81f02a9d67d,164,25,
205,3dfbbb8b12fbf010b5ed80f1e4eac587e9eb93d47db6942c37de7f6bca6419f4,259,45,
206,98b536de6f4811ab75f558feee99ce994031eb3a6075bfe6ef13b10a07d6f1fe,194,30,
207,0a367f259fa28d65916baa67ff1aa88f2f690b8af31f0717b2604dfa85ba5757,93,12,
208,a02bf096755c254589919b9c8b095994ba10f82b9acc38bb68044a6da83de663,79,10,
209,fbb56d04be359772bbd0f84429396b884583ec573d8d53069475f1334dea628b,147,25,
210,c615f34e40b2eca0a43f2a00e39a67c257d788174d1b283b708b191dddf7cdb6,152,24,
211,c462c4a6b8f16e086edd4ad4294898231ddb577e7a2875376a43c7a8d5b1c69b,151,19,
212,01a37a43f4dfe5d9a7edb01b6f9fe2b73c277ce1aa7e1b461203e9b9e510e202,226,33,
213,6ba7a98c18fc5a0cc0267d838a9750dcedd46852a1c9840a0a50a9153ef568cf,232,40,
214,38fb2a2d53e54cf84868424a79956b99cec19a0c408ac90ee900d84a5579faf9,164,27,
215,88d79776663421028052df4cb9b6a03075051558042ac2191e0b31d16e4d014c,223,39,
216,8cfcd57ea6834ff7a89c18db3a883003838de671ad0e64b1d395f43eba73070b,45,8,
217,e3669361d15a703a41e0295a7d2ad1f04100090c5c2a90c4f72d7471372e5d38,156,19,
218,d7d5659789c7de266150cfa6574ad65cc6a4e7b8be91be30f78666a14f59d21e,161,24,
219,b1caa1b841493816d512c8ff6fe7caf322e3b78cbfd966d7a00bcb6609d8c333,213,39,
220,ae57ecde577e5e4e292ddc06a3fb964a0e59f267b0501b54af5a1d31f69cb0fb,239,34,
221,c7522f02d25b3086e70606062e1a75db301686631598ea1722194de912036c8c,142,21,
222,95b1054fe84cdf52b9d7a1288396c790cf61d1c780635cf1b993da9f46cdc68d,130,25,
223,406facec16c64d33c8bb64898c9901ddec6569e5e5b0cc24d87f877c3202e019,199,34,
224,59e5cf985479f929b4b9d746c6cff20b05b7ec8d7e8cb1d76d64b26d74038b4f,200,34,
225,321666cd853887f1bd9710a778cfdf57d7c9ad6ae47bc37eb0cbdffeebc06f20,232,45,
226,31f88a0e14b9ca83d18a542e2b15131f3d7144726790861f6655b909b4f432a0,141,22,
227,3cdde610481363d9ccca62bf077f7457a9057efeca249428bd8919212ff735c9,162,28,
228,409b38a8b8754b47a34bee35f7f7187f10af1e99ee44f1b32e99e2bd05a5f587,131,21,
229,dddc9b32e5e1589c19cb8777a21b1b91ed248b92b8bd4a83751569d1bd6b4747,127,21,
230,61137403021be0e92c3f5207699a3d696f3236c2b49276126a8c28b5af5a988b,278,49,
231,56f540a099dc6499ed91b7e26667e2c8540f41fdaebe751fe6bf0973456336fe,236,37,
232,7d7c44787da8d636fb0ea24fa04efcc46b79c4b6e57a6cd9329caf32203df22e,276,49,
233,d7f4c673560bba57f2e8be5a1605cbee50c72928c482d30601c33392b8ae3c71,209,40,
234,b1348f6a7f279f2e3baf2905659e0821711c475cfb8a1b62da1c91a9a27008f9,180,32,
235,4edb52052efcce0caf85971330db362da6003a7c46cdb2c788ad9917e9b51554,224,36,
236,50702fafc50cc92644da14f35d5974619e5e44d31f4966c1687ece37736789b0,95,13,
237,04745fc362280a2e016fe8de808be333a768f26aef35402e427e9ec50171d168,133,25,
238,ad84d63b135206b07d92efc6ad768a84f78d8a30528767a77643bf7aa3accbcb,126,18,
239,bd6db21789ae8c8af6a04c8a94f0e8785c75c00d471881e751feef9ef2a3d24a,174,28,
240,713370df99e488ea3e07de386f79f828bc614ebb01c9e79b55231fd10dfea504,255,42,
241,4254c821d51201b66158cbe07065ac2c21a2172185815a50a111ba6a90f738c1,210,40,
242,5838fd134e772d908539bad8c7c2419dabd22879b2a3084614e3abad50a78f57,132,20,
243,7d6037e56b53a882b4e34537a6d749207e44f1cdeaa07dac188956d495f7dbb9,163,22,
244,6ea42d9dfac9f57fff1a69a63b93f2327c78c88ff444bb354a2a333695bf37e6,236,36,
245,f79b47ae1d52424ea0e921eaf1b289a031608a57a110b9399e6bab6010f1974c,341,52,
246,a2b270f239c6ef2f9b79a546e7ad99028fc617fd70b26b15171a69d77ba2daf8,85,15,
247,e77297ce0f894519028f7c1d7d332ba74cbb4f70e5510c6b98c6f87b59f2afab,115,16,
248,a0df8837747caafb087f36d75e4e277e6f6ac584e1e682233470986fc5579bdc,140,23,
249,31d92bf654a2c6ffe1563197cea69f4d67b83c29e823c5d4e96a3a486eed8a82,159,26,
250,0d3e43665de852508823129ca15ad18104f6613e1404a28cf6576e1c986e494e,87,15,
251,39a1cd3a33b4c5369c21629307f67de20aaff455f10b8bec28f7b2f9f08f27a8,86,15,
252,2042be718497496acd309e8802aeca2523e075a3038a7957ecaa624754a61c93,89,16,
253,0d142c35a745e7dd5338ab2674c7cc203294822a3b952886c6f4b0df531df46c,67,12,
254,03c4209ed459d0df610ad252b9676cc9e7858b8835ca957cbf6aa78d0853ff68,98,19,
255,85a470caab9957c229ecc0b0ffdcbe2062c21d4c116381c2fdf72d2fd3a1eeb3,183,29,
256,f2a3218d79610186f69db00697eb66d8945f35fffedf3fd6dcd07623d3f374a3,213,34,
257,17f92e4b9ee71606bdeca490341ca18313142ba0188ffb368445fe0ff0b888a1,203,36,
258,7d232a3484848425435ab2cd468ae6abc6330f13d8ab6628a5952e3c2272075e,199,34,
259,9bbf66cf2238f7598459e2d1b2590426f09f8118e7b85fc51e01fed5a761f8a2,222,34,
260,fd3da0ea03711858a9ebf50cddf76bf4c0f7d6d60f02835e08166dc619ae80f1,284,46,
261,9d2258af6ed6b83416a90237e49762db241223d4215423399017d01e5265dbe7,239,41,
262,e66cece4db1b11d045de9ba1652b72dd03561df036954ce43d5808405471473d,244,35,
263,8e5177e3c453b5da6736d44d6f469866cee0158e065b66a83fae1a711f57797f,339,56,
